item	item_desc	qty	lot_no	location	received_date	exp_date
021571102	CT 2710 A AU-B	1000	A171025-01-1-A	blank	2017-10-28	2018-04-28
021571202	CT 2710 B AU-B	297	A171025-01-1-B	blank	2017-10-28	2018-04-28
105145302	CT 4741-1-A/B/C	3000	J171025-01-3	blank	2017-10-28	2018-04-28
021621501	CT 350-1 A AU-B	64	F170120-01-3-A	S-RE/L1-00296	2017-10-28	2018-04-28
021621601	CT 350-1 B AU-B	63	F170120-01-3-B	S-RE/L1-00297	2017-10-28	2018-04-28
021342802	CT 238 A AU-B	325	E170202-01-3-A	S-RD/L4-00207	2017-10-28	2018-04-28
021342902	CT 238 B AU-B	60	E170202-01-3-B	S-RD/L4-00208	2017-10-28	2018-04-28
021505202	CT 2319-1 AUP-3MICRON	462	C170925-01-1	S-RI/L5-00495	2017-10-28	2018-04-28
021375101	CT 814 D AU-B	2820	D170906-01-1-D	S-RI/L4-00510	2017-10-28	2018-04-28
021374801	CT 814 G AU-B	3000	D170407-1-1-G	S-RI/L4-00507	2017-10-28	2018-04-28
021351401	CT 403 A AU-B	307	C161025-01-1-A	S-RG/L4-00381	2017-10-28	2018-04-28
021351501	CT 403 B AU-B	256	C161025-01-1-B	S-RM/L6-00728	2017-10-28	2018-04-28
021352801	CT 469 AUP-B	8850	D171013-01-1	S-RG/L3-00391	2017-10-28	2018-04-28
021436701	CT 1849 A AU-B	3449	K170802-04-1-A	S-RC/L6-00123	2017-10-28	2018-04-28
021436801	CT 1849 B AU-B	3354	K170802-04-1-B	S-RC/L6-00124	2017-10-28	2018-04-28
021436901	CT 1849 C AU-B	1684	K170802-04-1-C	S-RC/L6-00125	2017-10-28	2018-04-28
021436901	CT 1849 C AU-B	8316	K170803-01-1-C	S-RC/L6-00125	2017-10-28	2018-04-28
021437001	CT 1849 D AU-B	7002	K170802-04-1-D	S-RC/L6-00126	2017-10-28	2018-04-28
021437001	CT 1849 D AU-B	2998	K170803-01-1-D	S-RC/L6-00126	2017-10-28	2018-04-28
105349301	CT 4149-1-D-2	17000	L170215-03-1-D	blank	2017-10-28	2018-04-28
105349301	CT 4149-1-D-2	20000	L170215-01-1-D	blank	2017-10-28	2018-04-28
105349301	CT 4149-1-D-2	20000	L170215-04-1-D	blank	2017-10-28	2018-04-28
105349401	CT 4149-1-H-2	20000	L170214-02-1-H	blank	2017-10-28	2018-04-28
105349401	CT 4149-1-H-2	20000	L170214-01-1-H	blank	2017-10-28	2018-04-28
105349401	CT 4149-1-H-2	3700	L170127-03-1-H	blank	2017-10-28	2018-04-28
105349401	CT 4149-1-H-2	17900	L170215-01-1-H	blank	2017-10-28	2018-04-28
021368902	CT 3107-C AU-B	3000	B171023-01-1-C	blank	2017-10-28	2018-04-28
021490002	CT 2354-2 C AU-B	3000	E171023-01-1-C	blank	2017-10-28	2018-04-28
105192601	CT 4753-B	5600	A170622-03-1-B	blank	2017-10-28	2018-04-28
105192501	CT 4753-A	9800	A170623-03-1-A	blank	2017-10-28	2018-04-28
021546002	CT 2766-2 C BF	12100	F9113-1	blank	2017-10-28	2018-04-28
103065101	CT 1011-2PA-F	7740	H171012-1-1	blank	2017-10-28	2018-04-28
104917502	CT 4709	79600	R171002-05-1	blank	2017-10-28	2018-04-28
104917502	CT 4709	80000	R171002-04-1	blank	2017-10-28	2018-04-28
104917502	CT 4709	100000	R171002-03-1	blank	2017-10-28	2018-04-28
104917502	CT 4709	120000	R171002-02-1	blank	2017-10-28	2018-04-28
104917502	CT 4709	118800	R171002-01-1	blank	2017-10-28	2018-04-28
104917502	CT 4709	98800	R171003-02-1	blank	2017-10-28	2018-04-28
104917502	CT 4709	129800	R170714-05-1	blank	2017-10-28	2018-04-28
104917502	CT 4709	129800	R170717-01-1	blank	2017-10-28	2018-04-28
104917502	CT 4709	99800	R170715-04-1	blank	2017-10-28	2018-04-28
104917502	CT 4709	42200	R171005-01-1	blank	2017-10-28	2018-04-28
107019501	CT 3134-5 BF	130000	R171024-01-12	 	2017-10-28	2018-04-28
107019501	CT 3134-5 BF	128100	R171023-06-12	 	2017-10-28	2018-04-28
107019501	CT 3134-5 BF	130000	R171023-05-12	 	2017-10-28	2018-04-28
107019501	CT 3134-5 BF	130000	R171023-04-12	 	2017-10-28	2018-04-28
107019501	CT 3134-5 BF	130000	R171024-02-12	 	2017-10-28	2018-04-28
104966802	CT 4741-2-A/B/C	19000	J170615-01-3	blank	2017-10-28	2018-04-28
020027601	IC-46-1610 MF#IN	50	G050807R	R43-2/L5-08104	2016-04-28	2018-04-28
010126301	BASE PLATE IC-115-14	167	B060422R	R44-1/L1-08298	2016-04-28	2018-04-28
010147601	INSULATOR IC-115-14MF	100	F060422R	R44-1/L1-08294	2016-04-28	2018-04-28
020095202	IC51-0684-390#PP PES	101	G160128	R17-1/L2-03463	2016-04-28	2018-04-28
020280101	IC51-2404-1655#PL PEI	100	D150630	R07-2/L4-01851	2016-04-28	2018-04-28
023004102	NP364-01649#LT	7814	D160407	R07-1/L3-01761	2016-04-28	2018-04-28
023004102	NP364-01649#LT	5361	D160416	R07-1/L3-01761	2016-04-28	2018-04-28
023004102	NP364-01649#LT	7863	D160418	R07-1/L3-01761	2016-04-28	2018-04-28
023004102	NP364-01649#LT	10807	D160415	R07-1/L3-01761	2016-04-28	2018-04-28
021201202	QFN11T032-003#LB	29	A060422R	R31-1/L2-05837	2016-04-28	2018-04-28
105851601	NP584-085-001#LO	4	B060309R	R24-2/L1-04845	2016-04-28	2018-04-28
020438401	IC234-0804-019#IN-A	500	D151105	R14-1/L1-02950	2016-04-28	2018-04-28
021206202	PS44-44*-4311#IN	1090	R060422R	R44-1/L2-08261	2016-04-28	2018-04-28
021234601	SMT-37920#IN	14	C110520	R37-1/L3-06867	2016-04-28	2018-04-28
020279901	IC51-2404-1655#IN PEI	100	C160105	R14-2/L2-03019	2016-04-28	2018-04-28
102459002	NP383-196-149#CV	1004	B060422R	R35-2/L1-06676	2016-04-28	2018-04-28
021038702	IC51-1004-1919#LO PEI	46	160426	R16-1/L1-03317	2016-04-28	2018-04-28
020276201	IC51-0644-1586#IN PEI	25	160422	R20-1/L2-04010	2016-04-28	2018-04-28
020261301	IC51-0082-1522#PP PES	25	160423	R23-2/L2-04622	2016-04-28	2018-04-28
021038601	IC51-1004-1919#PL PEI	43	160426	R07-2/L1-01947	2016-04-28	2018-04-28
020276301	IC51-0644-1586#LB PEI	25	160422	R12-2/L1-02693	2016-04-28	2018-04-28
102458901	NP383-196-149#IN-C	1004	A060422R	R14-2/L2-03001	2016-04-28	2018-04-28
008145601	INSULATOR IC37NR-1603	496	160420	R21-2/L3-04233	2016-04-28	2018-04-28
