item	item_desc	qty	lot_no	location	received_date	exp_date
100805102	IC51-0644-1518-2#LB	46	160608	R16-2/L1-03403	2016-06-11	2018-06-11
103720301	NP506-028#GP	25	160608	R32-2/L2-06101	2016-06-11	2018-06-11
106552901	NP351-690#GP-3	125	E060609R	 	2016-06-11	2018-06-11
105632603	IC234-1004-408#LB	3254	E060609R	R18-1/L3-03605	2016-06-11	2018-06-11
105632603	IC234-1004-408#LB	853	E060603R	R18-1/L3-03605	2016-06-11	2018-06-11
105632502	IC234-1004-408P#IN-B	5972	C060607R	R15-1/L2-03092	2016-06-11	2018-06-11
106281001	NP587-001#CV	1221	160606	blank	2016-06-11	2018-06-11
105603701	NP566-729-001#LO-4	105	B131218	R16-2/L2-03388	2016-06-11	2018-06-11
105603701	NP566-729-001#LO-4	146	B160520	R16-2/L2-03388	2016-06-11	2018-06-11
104250901	NP494-020#CV NO.2	1979	D060602R	R35-1/L2-06552	2016-06-11	2018-06-11
103742401	NP506-030#LT	4076	160607	R08-1/L3-02039	2016-06-11	2018-06-11
020082402	IC51-0282-165#IN PES	20	C060601R	R40-1/L2-07443	2016-06-11	2018-06-11
105965301	NP583-009#LT	2051	A060606R	R09-1/L1-02371	2016-06-11	2018-06-11
020097902	IC51-0162-271-3#IN PES	25	160608	R37-1/L3-06870	2016-06-11	2018-06-11
106141501	NP364-163#LT-2 NO.2	99	160608	R07-1/L1-01817	2016-06-11	2018-06-11
103720401	NP506-028#LT	48	160608	R08-1/L3-02040	2016-06-11	2018-06-11
105603601	NP566-729-001#IN-B-4	31	C160524	R23-1/L2-04554	2016-06-11	2018-06-11
105603601	NP566-729-001#IN-B-4	171	C140619	R23-1/L2-04554	2016-06-11	2018-06-11
105603901	NP566-473-002#LT	84	160527	R06-2/L3-01612	2016-06-11	2018-06-11
105603901	NP566-473-002#LT	830	160525	R06-2/L3-01612	2016-06-11	2018-06-11
020049101	IC51-0322-948#IN PES (PAIR)	103	D151214	R42-2/L1-07937	2016-06-11	2018-06-11
020092202	IC51-0162-296#IN PES (PAIR)	14	D120105	R20-1/L2-03999	2016-06-11	2018-06-11
101270601	NP351-676-457#IN-B-P	20	A060607R	R25-2/L3-04980	2016-06-11	2018-06-11
106581901	IC561-462-226#PB-L-1(1-9)	3	A20160609-2	 	2016-06-11	2018-06-11
106581701	IC561-462-226#PB-T(1-9)	3	A20160609-1	 	2016-06-11	2018-06-11
106582101	IC561-226#MO(1-9)	3	A20160609-4	 	2016-06-11	2018-06-11
106582201	IC561-226#PL(1-9)	3	A20160609-4	 	2016-06-11	2018-06-11
010120202	BASE PLATE IC-24-8(PES)	21	G060602R	R44-1/L1-08293	2016-06-11	2018-06-11
105987301	IC542-027#SP	23	16-3-3	R24-2/L3-04778	2016-06-11	2018-06-11
020383101	IC189-0302-085#IN-B	20	C060606R	R14-2/L1-03039	2016-06-11	2018-06-11
102902101	IC357-0804-074N#IN-B	20	B060607R	R40-2/L1-07575	2016-06-11	2018-06-11
020591104	NP351-65113#CV	7	K060606R	R35-1/L2-06550	2016-06-11	2018-06-11
105572301	CT 4859 #PLUNGER-1 (YEC)	121300	C160609-01-1	blank	2016-06-11	2018-06-11
105950801	CT 4683#PLUNGER-2	43990	C151211-02-1	blank	2016-06-11	2018-06-11
105950801	CT 4683#PLUNGER-2	60990	C151212-01-1	blank	2016-06-11	2018-06-11
106318001	CT 5127#BARREL-3	16670	C160502-02-1	blank	2016-06-11	2018-06-11
106177701	CT 3669-Y #BARREL 100K (PLATE)	1855	16610	blank	2016-06-11	2018-06-11
106524801	CT 5127#PLUNGER-B-5	53000	C160607-01M-1	 	2016-06-11	2018-06-11
106524601	CT 5127#BARREL-6	38100	C160604-01-1	 	2016-06-11	2018-06-11
106584901	CT 5432-Y#SPRING (MICRO)	3300	166A02	 	2016-06-11	2018-06-11
105981301	CT 4683#SPRING-2 300K (MICRO)	230000	163A262	blank	2016-06-11	2018-06-11
106340701	CT 4859#SPRING-4 (MICRO)	1856	163A162	 	2016-06-11	2018-06-11
104348603	CT 4368 #SPRING-2 (MICRO)	43000	165A201	blank	2016-06-11	2018-06-11
020840902	IC357-1444-023#SD	980	A160603	R33-2/L3-06237	2016-06-11	2018-06-11
105987101	IC542-027#IN	59	16-6-3	blank	2016-06-11	2018-06-11
105987101	IC542-027#IN	100	16-3-2	blank	2016-06-11	2018-06-11
105987101	IC542-027#IN	8	15-3-11	blank	2016-06-11	2018-06-11
106096901	NP469-3677-017#IN-B	359	C060607R	R21-1/L2-04192	2016-06-11	2018-06-11
023004002	NP364-03249#LB	1000	C160423	R31-2/L1-05941	2016-06-11	2018-06-11
