item	item_desc	qty	lot_no	location	received_date	exp_date
021335502	CT 112 A AU-B	1000	G170706-02-2-A	S-RA/L6-00010	2017-12-15	2018-06-15
021335602	CT 112 B AU-B	1100	G170706-02-2-B	S-RA/L5-00011	2017-12-15	2018-06-15
021505701	CT 2334 A AU-B	114	C160822-01-1-A	S-RM/L2-00761	2017-12-15	2018-06-15
021505801	CT 2334 B AU-B	114	C160822-01-1-B	S-RM/L2-00762	2017-12-15	2018-06-15
101201701	CT 2175-B AU-B (TSUNEKI)	41	N170719-03-1-B	S-RC/L3-00156	2017-12-15	2018-06-15
101201801	CT 2175-C AU-B (TSUNEKI)	3080	N171109-02-1-C	S-RC/L3-00157	2017-12-15	2018-06-15
101201801	CT 2175-C AU-B (TSUNEKI)	6820	N170719-06-1-C	S-RC/L3-00157	2017-12-15	2018-06-15
101201801	CT 2175-C AU-B (TSUNEKI)	10100	N170719-07-1-C	S-RC/L3-00157	2017-12-15	2018-06-15
101201701	CT 2175-B AU-B (TSUNEKI)	3659	N170719-03-1-B	S-RC/L3-00156	2017-12-15	2018-06-15
101201701	CT 2175-B AU-B (TSUNEKI)	9990	N170719-05-1-B	S-RC/L3-00156	2017-12-15	2018-06-15
101201701	CT 2175-B AU-B (TSUNEKI)	5000	N170719-06-1-B	S-RC/L3-00156	2017-12-15	2018-06-15
101201701	CT 2175-B AU-B (TSUNEKI)	1043	N170719-08-1-B	S-RC/L3-00156	2017-12-15	2018-06-15
105014502	CT 4767-2	130000	H170923-03-2	blank	2017-12-15	2018-06-15
105014502	CT 4767-2	75700	H170923-02-2	blank	2017-12-15	2018-06-15
021341601	CT 205A AU-B	500	D170627-01-2-A	S-RD/L4-00205	2017-12-15	2018-06-15
021341701	CT 205B AU-B	500	D170627-01-2-B	S-RL/L5-00679	2017-12-15	2018-06-15
021571202	CT 2710 B AU-B	250	A171204-01-1-B	blank	2017-12-15	2018-06-15
105473601	CT 4741-1-A/B/C-YD	15900	J171201-01-3	 	2017-12-15	2018-06-15
105473601	CT 4741-1-A/B/C-YD	9600	J171201-02-3	 	2017-12-15	2018-06-15
107008701	CT 5529-2-PD	99000	D171201-11-1	 	2017-12-15	2018-06-15
107008701	CT 5529-2-PD	63000	D171201-12-1	 	2017-12-15	2018-06-15
107008701	CT 5529-2-PD	130300	D171201-13-1	 	2017-12-15	2018-06-15
107008701	CT 5529-2-PD	92142	D171201-14-1	 	2017-12-15	2018-06-15
107008701	CT 5529-2-PD	117000	D171201-08-1	 	2017-12-15	2018-06-15
107008701	CT 5529-2-PD	67900	D171201-06-1	 	2017-12-15	2018-06-15
107008701	CT 5529-2-PD	131100	D171201-10-1	 	2017-12-15	2018-06-15
107008701	CT 5529-2-PD	70600	D171201-09-1	 	2017-12-15	2018-06-15
107008701	CT 5529-2-PD	130500	D171202-01-1	 	2017-12-15	2018-06-15
107008701	CT 5529-2-PD	130600	D171201-17-1	 	2017-12-15	2018-06-15
107008701	CT 5529-2-PD	130100	D171201-16-1	 	2017-12-15	2018-06-15
107008701	CT 5529-2-PD	124400	D171201-15-1	 	2017-12-15	2018-06-15
107008701	CT 5529-2-PD	47476	D171202-02-1	 	2017-12-15	2018-06-15
106091001	CT 4610-H	100629	G170713-01-1	blank	2017-12-15	2018-06-15
106979701	CT 4029-E	54850	E171122-5-1	 	2017-12-15	2018-06-15
106979701	CT 4029-E	55150	E171123-1-1	 	2017-12-15	2018-06-15
106979701	CT 4029-E	55090	E171121-5-1	 	2017-12-15	2018-06-15
