item	item_desc	qty	lot_no	location	received_date	exp_date
020449301	IC234-1204-058P#IN-B	1520	B060509R	R25-2/L2-05009	2016-05-13	2018-05-13
106103901	NP364-170#GP	778	A060509R	R14-1/L1-02949	2016-05-13	2018-05-13
106361801	NP351-400-725#IN-B-N	278	160429	R33-2/L1-06301	2016-05-13	2018-05-13
020449201	IC234-1204-058#IN-A	1532	B060509R	R19-1/L3-03795	2016-05-13	2018-05-13
104769501	NP436-17101#IN-A-1NO.4	20671	K160425	R18-2/L3-03697	2016-05-13	2018-05-13
104769501	NP436-17101#IN-A-1NO.4	10500	K160422	R18-2/L3-03697	2016-05-13	2018-05-13
020449501	IC234-1204-058#LV	6174	B060509R	R09-2/L3-02437	2016-05-13	2018-05-13
021206202	PS44-44*-4311#IN	377	R060509R	R44-1/L2-08261	2016-05-13	2018-05-13
102060801	IC357-1444-059#LB	738	A160509	R12-2/L1-02677	2016-05-13	2018-05-13
105086201	IC357-1444-103#LB	466	C060509R	R41-1/L2-07638	2016-05-13	2018-05-13
105512202	IC273-0071-054#LB	224	160509	R22-1/L2-04364	2016-05-13	2018-05-13
020195801	IC51-3244-1331#IN PES	58	160428	R41-2/L1-07753	2016-05-13	2018-05-13
102458701	NP383-196-149#IN-A	34	A060509R	R19-1/L3-03790	2016-05-13	2018-05-13
106547801	QFP11T208-003#LB	31	A060509R	 	2016-05-13	2018-05-13
101140401	NP351-841-450#LO	41	C160401	R16-1/L2-03276	2016-05-13	2018-05-13
020833801	IC357-0484-009P#IN-B	40	A060509R	R36-1/L3-06687	2016-05-13	2018-05-13
020380601	IC189-0562-067#IN-A	46	C060509R	R12-1/L2-02552	2016-05-13	2018-05-13
106142001	IC-871-1#IN	20	A060509R	blank	2016-05-13	2018-05-13
020085102	IC51-0444-400#IN PES	20	H060509R	R38-2/L2-07162	2016-05-13	2018-05-13
020952201	IC-497-1-2-MF #IN	20	B060507R	R14-2/L3-02972	2016-05-13	2018-05-13
020330801	IC120-0324-009#IN-B	20	F060506R	R18-2/L1-03758	2016-05-13	2018-05-13
106141601	NP364-160#LT-1 NO.2	391	C160429	blank	2016-05-13	2018-05-13
106318501	IC-868-1#IN-C	59	160511	blank	2016-05-13	2018-05-13
020512903	NP352-376-98#GP-4	25	160510	R26-1/L5-05047	2016-05-13	2018-05-13
020512703	NP352-376-98#GP-2	25	160510	R26-1/L5-05045	2016-05-13	2018-05-13
020512603	NP352-376-98#GP-1	25	160510	R26-1/L5-05043	2016-05-13	2018-05-13
020512803	NP352-376-98#GP-3	25	160510	R26-1/L5-05046	2016-05-13	2018-05-13
101164001	IC-657-4#IN-MF-2	20	A060429R	R38-1/L3-07054	2016-05-13	2018-05-13
106318001	CT 5127#BARREL-3	65200	C160420-03-1	blank	2016-05-13	2018-05-13
106318001	CT 5127#BARREL-3	30000	C160421-02Z-1	blank	2016-05-13	2018-05-13
106318001	CT 5127#BARREL-3	30600	C160421-01-1	blank	2016-05-13	2018-05-13
105709801	CT 4799-Y#PLUNGER-A-1 (YEC)	29800	160511	blank	2016-05-13	2018-05-13
106443101	NP568-153-001#IN-A NO.3	10500	D160504	blank	2016-05-13	2018-05-13
