item	item_desc	qty	lot_no	location	received_date	exp_date
020238901	IC51-809-7AD#LP PEI+	37	A160607	R22-2/L2-04456	2016-06-10	2018-06-10
106485901	NP364-110-182#LB	370	160607	blank	2016-06-10	2018-06-10
021006702	QFP11T092-001#PL PEI	50	B141028	R08-2/L4-02138	2016-06-10	2018-06-10
021006503	QFP11T092-001#IN PEI	25	B141024	R21-2/L2-04290	2016-06-10	2018-06-10
021205101	PS42-44W-5013#IN	62	160606	R44-1/L2-08254	2016-06-10	2018-06-10
106341001	NP583-003#LT	20	A060606R	R08-2/L2-02189	2016-06-10	2018-06-10
020592201	NP351-30413#LT	30	C050613R	R07-1/L5-01707	2016-06-10	2018-06-10
102901502	IC357-0804-074#IN-A	20	B060606R	R21-1/L1-04202	2016-06-10	2018-06-10
102901801	IC357-0804-074#LB	20	C060606R	R16-2/L3-03359	2016-06-10	2018-06-10
102794103	NP506-056-006#GP	21	C060606R	R32-2/L1-06121	2016-06-10	2018-06-10
020438003	IC234-1004-023P#IN-B	20	E060606R	R25-2/L3-04978	2016-06-10	2018-06-10
104882801	NP537-004#GP-A	20	A060606R	R34-2/L1-06492	2016-06-10	2018-06-10
106584001	NP596-002#LT	830	160603	 	2016-06-10	2018-06-10
020214202	IC51-1284-1702#IN PEI	20	B160530	R40-2/L2-07537	2016-06-10	2018-06-10
020438201	IC234-1004-023#LV	78	D060606R	R27-1/L1-05443	2016-06-10	2018-06-10
106575501	NP383-369#GP	95	B160603	 	2016-06-10	2018-06-10
105775101	NP556-004#LT	4266	A160603	blank	2016-06-10	2018-06-10
104663601	NP404-145-027#LT	1900	B160601	R09-1/L5-02255	2016-06-10	2018-06-10
106452201	NP364-178#GP	-3958	160603	blank	2016-06-10	2018-06-10
020447101	IC234-1444-053#LV	5660	A160225	R37-2/L2-06981	2016-06-10	2018-06-10
021050902	IC51-1764-1995#IN PEI	111	160604	R12-1/L1-02590	2016-06-10	2018-06-10
021050902	IC51-1764-1995#IN PEI	393	160607	R12-1/L1-02590	2016-06-10	2018-06-10
106280901	NP587-001#IN	327	160602	blank	2016-06-10	2018-06-10
106280901	NP587-001#IN	687	160606	blank	2016-06-10	2018-06-10
104250701	NP494-096-020#IN-B NO.2	1779	E160601	R18-2/L2-03742	2016-06-10	2018-06-10
020497402	NP404-84101#L0-P	929	A160601	R32-1/L3-05987	2016-06-10	2018-06-10
106445801	IC357-1784-098#IN-A-3 OT-11601016	175	C060204R	blank	2016-06-10	2018-06-10
106445801	IC357-1784-098#IN-A-3 OT-11601016	88	C160606R	blank	2016-06-10	2018-06-10
020840703	IC357-1444-023#IN-A	845	B160530	R14-2/L3-03000	2016-06-10	2018-06-10
106141801	NP364-160#CV NO.2	1344	E160526	R13-2/L3-02799	2016-06-10	2018-06-10
106281001	NP587-001#CV	5184	160604	blank	2016-06-10	2018-06-10
106281001	NP587-001#CV	2739	160605	blank	2016-06-10	2018-06-10
106368601	NP596-001#GP	1820	160608	R41-2/L2-07718	2016-06-10	2018-06-10
020438501	IC234-0804-019P#IN-B	90	C160325	R15-1/L2-03119	2016-06-10	2018-06-10
104387201	IC166-0104-021#IN-B	21	B160531	R25-2/L2-05008	2016-06-10	2018-06-10
104387101	IC166-0104-021#IN-A	23	B160531	R40-1/L2-07434	2016-06-10	2018-06-10
106581101	IC369-0242-037P#IN-B	4	A160606	 	2016-06-10	2018-06-10
106318101	CT 5355#SPRING (MICRO)	39102	163A203	blank	2016-06-10	2018-06-10
103457101	CT 3164 #SPRING (TOHO)	2000	16-6-8	blank	2016-06-10	2018-06-10
103742501	D12-124#SF-2	8000	D-234833	R06-1/L1-01520	2016-06-10	2018-06-10
104814101	CS-673	320	651700	R03-1/L1-00685	2016-06-10	2018-06-10
100647301	CS-96 SUS (YAMANI)	10000	15112-A-63	R02-1/L5-00292	2016-06-10	2018-06-10
021645402	M SHAFT-59 (3.0 L=33) [R]	1001	CZ-2340878	R05-1/L1-01238	2016-06-10	2018-06-10
021652702	M SHAFT-04 (2.0 L=31) [R]	1072	CZ-234861	R05-1/L2-01206	2016-06-10	2018-06-10
102601702	CS-527	2100	660700	R02-1/L1-00403	2016-06-10	2018-06-10
103973701	ST-119	500	A060606R	R44-2/L1-08399	2016-06-10	2018-06-10
021709701	ST-26 JD	2534	L160531	R44-2/L3-08339	2016-06-10	2018-06-10
106303701	NP504-272-014#SP-1	42224	16-2-22	R12-2/L2-02658	2016-06-10	2018-06-10
106450901	IC357-1004-185#LB	351	160608	blank	2016-06-10	2018-06-10
106450901	IC357-1004-185#LB	663	160607	blank	2016-06-10	2018-06-10
020840802	IC357-1444-023P#IN-B	2520	C160606	R15-2/L2-03191	2016-06-10	2018-06-10
104382101	IC363-0442-022#IN	3039	A160531	blank	2016-06-10	2018-06-10
102060801	IC357-1444-059#LB	3500	A160601	R12-2/L1-02677	2016-06-10	2018-06-10
104382301	IC363-0442-022#SD	3375	A160528	R19-2/L2-03919	2016-06-10	2018-06-10
106303701	NP504-272-014#SP-1	10000	F160211	R12-2/L2-02658	2016-06-10	2018-06-10
106303701	NP504-272-014#SP-1	224	160121-58	R12-2/L2-02658	2016-06-10	2018-06-10
