item	item_desc	qty	lot_no	location	received_date	exp_date
107019501	CT 3134-5 BF	130000	R171023-03-12	 	2017-10-27	2018-04-27
107019501	CT 3134-5 BF	130000	R171023-02-12	 	2017-10-27	2018-04-27
107019501	CT 3134-5 BF	95000	R171020-05-12	 	2017-10-27	2018-04-27
107019501	CT 3134-5 BF	129600	R171020-04-12	 	2017-10-27	2018-04-27
107019501	CT 3134-5 BF	80000	R171021-01-12	 	2017-10-27	2018-04-27
107019501	CT 3134-5 BF	89000	R171020-06-12	 	2017-10-27	2018-04-27
107019501	CT 3134-5 BF	129500	R171021-03-12	 	2017-10-27	2018-04-27
107019501	CT 3134-5 BF	129700	R171021-02-12	 	2017-10-27	2018-04-27
107019501	CT 3134-5 BF	130000	R171023-01-12	 	2017-10-27	2018-04-27
107019501	CT 3134-5 BF	119600	R171021-04-12	 	2017-10-27	2018-04-27
106116401	CT 5057 NI	120000	E171020-04-1	blank	2017-10-27	2018-04-27
106116401	CT 5057 NI	100000	E171020-03-1	blank	2017-10-27	2018-04-27
106116401	CT 5057 NI	130000	E171021-01-1	blank	2017-10-27	2018-04-27
103973401	CT 4304-B.D.F PIN	600	C171020-01-1	blank	2017-10-27	2018-04-27
104837101	CT4661-A/B	3000	A171021-01-1	blank	2017-10-27	2018-04-27
021368802	CT 3107-B AU-B	3000	B171020-01-1-B	blank	2017-10-27	2018-04-27
105923601	CT 2894-A-YD	9600	D170621-01-1-A	blank	2017-10-27	2018-04-27
105923701	CT 2894-B-YD	11500	D170621-01-1-B	blank	2017-10-27	2018-04-27
106062901	CT 5128-A/B-YD	13100	E170216-01-1	blank	2017-10-27	2018-04-27
021523701	CT 2083 BF	2662	G170522-1-2	blank	2017-10-27	2018-04-27
105086201	IC357-1444-103#LB	20	C060412R	R41-1/L2-07638	2016-04-27	2018-04-27
020264501	IC51-0644-1531#PP PEI	83	B060419R	R17-1/L1-03504	2016-04-27	2018-04-27
020264601	IC51-0644-1531#PL PEI	157	F060419R	R07-2/L5-01833	2016-04-27	2018-04-27
020461302	IC234-1004-099#IN-A	98	A160418	R15-2/L2-03204	2016-04-27	2018-04-27
020291701	IC-59-4206#IN PPS	25	160420	R38-1/L2-07083	2016-04-27	2018-04-27
020174101	IC51-0422-1220#IN PES (PAIR)	25	160421	R21-2/L3-04237	2016-04-27	2018-04-27
020840703	IC357-1444-023#IN-A	769	B160201	R14-2/L3-03000	2016-04-27	2018-04-27
103287601	IC357-1764-081#LB	130	C160419	R16-2/L3-03347	2016-04-27	2018-04-27
020450301	IC234-1004-008P#IN-B NO.2	314	E160202	R37-1/L2-06908	2016-04-27	2018-04-27
020840802	IC357-1444-023P#IN-B	828	C160411	R15-2/L2-03191	2016-04-27	2018-04-27
106358701	IC-876-1#IN-1	325	A160419	blank	2016-04-27	2018-04-27
106358701	IC-876-1#IN-1	13	A160315	blank	2016-04-27	2018-04-27
105086001	IC357-1444-103#MO	3550	A060222R	R39-1/L2-07261	2016-04-27	2018-04-27
020375301	IC189-0322-004#IN-A	688	B060421R	R12-1/L3-02532	2016-04-27	2018-04-27
020375301	IC189-0322-004#IN-A	5	B050507R	R12-1/L3-02532	2016-04-27	2018-04-27
020375402	IC189-0322-004#IN-B	701	D040827R	R34-1/L3-06339	2016-04-27	2018-04-27
105884401	CT 5196-Y#SPRING (OCEANS)	7000	16-4-25	blank	2016-04-27	2018-04-27
106318001	CT 5127#BARREL-3	93600	B160407-01-1	blank	2016-04-27	2018-04-27
106318001	CT 5127#BARREL-3	30700	B160406-02-1	blank	2016-04-27	2018-04-27
106318001	CT 5127#BARREL-3	30100	B160407-02-1	blank	2016-04-27	2018-04-27
104917401	NP351-400-678#LV	2830	160425	R05-2/L4-01308	2016-04-27	2018-04-27
101140501	NP351-841-450#LV	1200	160425	R02-2/L5-00423	2016-04-27	2018-04-27
103975801	IC550-0884-002#IN	404	B060419R	R15-1/L3-03086	2016-04-27	2018-04-27
106349001	NP351-400-678#CV-2	140	160422	R35-2/L1-06658	2016-04-27	2018-04-27
106281401	NP587-001#SP	6000	160424	R21-2/L3-04257	2016-04-27	2018-04-27
103552401	NP481-1225-021#LO	25	160422	R16-1/L2-03281	2016-04-27	2018-04-27
102459304	NP383-055-149#GP	667	D060420R	R13-2/L2-02836	2016-04-27	2018-04-27
102459304	NP383-055-149#GP	309	D060419R	R13-2/L2-02836	2016-04-27	2018-04-27
102458701	NP383-196-149#IN-A	1022	A060422R	R19-1/L3-03790	2016-04-27	2018-04-27
106362801	NP568-153-001#IN-A NO.2	6701	160418	blank	2016-04-27	2018-04-27
106362801	NP568-153-001#IN-A NO.2	9777	160419	blank	2016-04-27	2018-04-27
106362801	NP568-153-001#IN-A NO.2	16472	160415	blank	2016-04-27	2018-04-27
106036701	IC572-0484-008#IN-A	25	160421	R17-1/L1-03497	2016-04-27	2018-04-27
106408901	ACC-799#NT	1000	16-4-25	blank	2016-04-27	2018-04-27
021711401	ST-32 PEI JD	102	G160314	R44-2/L3-08331	2016-04-27	2018-04-27
104007001	LOCK NUT M2.0-2.5 BS	9996	16-4-25	R04-1/L3-00912	2016-04-27	2018-04-27
105399801	NP559-004#LT	661	160421	R24-1/L1-04752	2016-04-27	2018-04-27
021774101	SPRING LOCK WASHER M2.0 SUS	4000	16-4-22	R04-1/L2-00942	2016-04-27	2018-04-27
105729501	NP351-703#LT	3751	160421	R06-2/L2-01639	2016-04-27	2018-04-27
106552801	NP351-690#CV-2	124	C060422R	 	2016-04-27	2018-04-27
101830401	IC405-14518#PL	20	D060419R	R07-2/L5-01828	2016-04-27	2018-04-27
103552801	NP481-1225-021#SP-D	60	A160318	R43-1/L5-07955	2016-04-27	2018-04-27
020331201	IC120-0444-106#IN-B	96	F160420	R37-1/L2-06916	2016-04-27	2018-04-27
104130801	NP556-0576-001#SP-A	616	A160118	blank	2016-04-27	2018-04-27
104130801	NP556-0576-001#SP-A	3029	A160419	blank	2016-04-27	2018-04-27
105436701	CT 4944-Y #PLUNGER-B (YEC)	8280	B160415-012	blank	2016-04-27	2018-04-27
104471803	CT 4520-Y #BARREL (YEC)	162	D160413-006	blank	2016-04-27	2018-04-27
104910901	CT 4752-Y #PLUNGER-A (YEC)	8891	A160414-011	blank	2016-04-27	2018-04-27
104536004	CT 4533-Y #PLUNGER-A-2 (CSH)	17	160421 SP2-2	 	2016-04-27	2018-04-27
106548101	IC538-853-058#PB-B	171	160427	 	2016-04-27	2018-04-27
106548201	IC538-853-058#PB-L-1	171	160427	 	2016-04-27	2018-04-27
106548401	IC538-853-058#PB-T	171	160427	 	2016-04-27	2018-04-27
106548301	IC538-853-058#PB-L-2	171	160427	 	2016-04-27	2018-04-27
106366301	IC582-1444-012#IN-B	102	A20160426	blank	2016-04-27	2018-04-27
106366301	IC582-1444-012#IN-B	50	A20160427	blank	2016-04-27	2018-04-27
106366101	IC582-1444-012#IN-A	400	A20160425	blank	2016-04-27	2018-04-27
