item	item_desc	qty	lot_no	location	received_date	exp_date
020840703	IC357-1444-023#IN-A	2135	B160513	R14-2/L3-03000	2016-05-20	2018-05-20
020840802	IC357-1444-023P#IN-B	2100	C160516	R15-2/L2-03191	2016-05-20	2018-05-20
104769501	NP436-17101#IN-A-1NO.4	15750	K160427	R18-2/L3-03697	2016-05-20	2018-05-20
104769501	NP436-17101#IN-A-1NO.4	8750	K160428	R18-2/L3-03697	2016-05-20	2018-05-20
104769501	NP436-17101#IN-A-1NO.4	9161	K160426	R18-2/L3-03697	2016-05-20	2018-05-20
102583503	IC357-0644-068#IN-A	510	D060516R	R21-1/L3-04169	2016-05-20	2018-05-20
103708003	NP383-204#CV-2	491	D060516R	R35-2/L1-06657	2016-05-20	2018-05-20
105176804	NP537-005#LT-1	7536	160516	R25-1/L3-04862	2016-05-20	2018-05-20
106294301	NP364-172#GP	254	160519	R13-1/L1-02781	2016-05-20	2018-05-20
105648601	NP583-001#CV	1539	E060516R	R22-2/L3-04412	2016-05-20	2018-05-20
104917002	NP351-400-678#IN-B	492	160517	R19-2/L1-03960	2016-05-20	2018-05-20
102060801	IC357-1444-059#LB	1750	A160517	R12-2/L1-02677	2016-05-20	2018-05-20
103497401	NP506-056-017#SD	1211	160516	R19-2/L3-03871	2016-05-20	2018-05-20
104769601	NP436-17101#IN-B NO.4	14730	F160512	R18-2/L3-03715	2016-05-20	2018-05-20
104769601	NP436-17101#IN-B NO.4	4037	F160511	R18-2/L3-03715	2016-05-20	2018-05-20
104769701	NP436-17101#CV NO.4	6150	C160428	R24-1/L2-04738	2016-05-20	2018-05-20
104769701	NP436-17101#CV NO.4	3065	C160429	R24-1/L2-04738	2016-05-20	2018-05-20
104769701	NP436-17101#CV NO.4	10080	C160510	R24-1/L2-04738	2016-05-20	2018-05-20
020840902	IC357-1444-023#SD	871	A160506	R33-2/L3-06237	2016-05-20	2018-05-20
020840902	IC357-1444-023#SD	1225	A160517	R33-2/L3-06237	2016-05-20	2018-05-20
105965301	NP583-009#LT	6165	A060513R	R09-1/L1-02371	2016-05-20	2018-05-20
008145601	INSULATOR IC37NR-1603	100	160516	R21-2/L3-04233	2016-05-20	2018-05-20
020459305	IC234-1004-088#LB	347	F051202R	R30-1/L2-05633	2016-05-20	2018-05-20
106294101	NP364-070-172#IN	254	160518	R12-2/L3-02637	2016-05-20	2018-05-20
103497201	NP506-056-017#IN	75	160518	R21-2/L1-04317	2016-05-20	2018-05-20
106294201	NP364-070-172#SD	234	160517	R13-1/L1-02764	2016-05-20	2018-05-20
021052601	IC51-1284-1788-2#LB PEI	25	160518	blank	2016-05-20	2018-05-20
103452202	NP537-192-001#LB	25	160512	R41-1/L3-07589	2016-05-20	2018-05-20
103297901	NP383-576-204#MO	487	A060513R	R42-1/L3-07772	2016-05-20	2018-05-20
104916902	NP351-400-678#IN-A	465	160516	R15-1/L1-03128	2016-05-20	2018-05-20
021201102	QFN11T032-003#IN	20	A060513R	R37-1/L1-06921	2016-05-20	2018-05-20
023003903	NP364-01649#CV	30	D160422	R35-1/L2-06546	2016-05-20	2018-05-20
020021101	IC-39-2304#IN PES	101	VZ060206	 	2016-05-20	2018-05-20
106560601	IC561-213#HS-1	10	A20160518-4	 	2016-05-20	2018-05-20
106191701	NP584-004#LT	39	C060303R	R07-1/L2-01766	2016-05-20	2018-05-20
021204302	PS44-44-3011#IN	193	R160510	R44-1/L2-08258	2016-05-20	2018-05-20
020024202	IC-70-2418#IN PES	164	G160510	R40-2/L3-07510	2016-05-20	2018-05-20
023004102	NP364-01649#LT	120	D160423	R07-1/L3-01761	2016-05-20	2018-05-20
106560701	IC561-213#HS-2	4	A20160518-4	 	2016-05-20	2018-05-20
020442201	IC234-0484-039#LB	20	C060516R	R30-1/L2-05637	2016-05-20	2018-05-20
020289101	IC51-1444-1354-7#LB PEI	20	D060516R	R31-2/L2-05907	2016-05-20	2018-05-20
104769801	NP436-17101#MO NO.4	24387	B160429	R06-2/L3-01607	2016-05-20	2018-05-20
105399401	NP559-676-004#IN-B-2	239	A160516	R38-1/L2-07093	2016-05-20	2018-05-20
105399401	NP559-676-004#IN-B-2	168	A160513	R38-1/L2-07093	2016-05-20	2018-05-20
105399401	NP559-676-004#IN-B-2	1008	A160512	R38-1/L2-07093	2016-05-20	2018-05-20
106292801	IC572-0804-007#IN-B	297	A160517	R12-1/L2-02563	2016-05-20	2018-05-20
