item	item_desc	qty	lot_no	location	received_date	exp_date
105237301	CT 4902-C	5000	B171106-01-1-C	blank	2017-11-11	2018-05-11
105237201	CT 4902-B	5000	B171106-01-1-B	blank	2017-11-11	2018-05-11
105236801	CT 4902-A	5000	B171106-01-1-A	blank	2017-11-11	2018-05-11
105889902	CT 2097-A/B/C/D-YD	16500	F170911-12-3	blank	2017-11-11	2018-05-11
105889902	CT 2097-A/B/C/D-YD	16500	F170911-10-3	blank	2017-11-11	2018-05-11
105889902	CT 2097-A/B/C/D-YD	16500	F170911-14-3	blank	2017-11-11	2018-05-11
105889902	CT 2097-A/B/C/D-YD	15300	F170912-04-3	blank	2017-11-11	2018-05-11
105889902	CT 2097-A/B/C/D-YD	16500	F170911-15-3	blank	2017-11-11	2018-05-11
105889902	CT 2097-A/B/C/D-YD	16200	F170912-07-3	blank	2017-11-11	2018-05-11
105889902	CT 2097-A/B/C/D-YD	15000	F170912-06-3	blank	2017-11-11	2018-05-11
105889902	CT 2097-A/B/C/D-YD	16500	F170912-09-3	blank	2017-11-11	2018-05-11
105889902	CT 2097-A/B/C/D-YD	16500	F170912-08-3	blank	2017-11-11	2018-05-11
021423401	CT 926-2 A AU-B	1882	C171026-01-1-A	S-RI/L1-00536	2017-11-11	2018-05-11
104380701	CONTACT 3590 NI	130000	G171102-02-3	blank	2017-11-11	2018-05-11
104380701	CONTACT 3590 NI	130000	G171102-01-3	blank	2017-11-11	2018-05-11
104380701	CONTACT 3590 NI	130000	G171102-04-3	blank	2017-11-11	2018-05-11
104380701	CONTACT 3590 NI	130000	G171102-03-3	blank	2017-11-11	2018-05-11
104380701	CONTACT 3590 NI	99700	G171103-02-3	blank	2017-11-11	2018-05-11
104380701	CONTACT 3590 NI	130000	G171103-01-3	blank	2017-11-11	2018-05-11
104380701	CONTACT 3590 NI	129000	G171103-04-3	blank	2017-11-11	2018-05-11
104380701	CONTACT 3590 NI	130000	G171103-03-3	blank	2017-11-11	2018-05-11
104380701	CONTACT 3590 NI	130000	G171106-02-3	blank	2017-11-11	2018-05-11
104380701	CONTACT 3590 NI	130000	G171106-01-3	blank	2017-11-11	2018-05-11
104380701	CONTACT 3590 NI	80000	G171106-03-3	blank	2017-11-11	2018-05-11
104380701	CONTACT 3590 NI	100000	G171101-01-3	blank	2017-11-11	2018-05-11
104380701	CONTACT 3590 NI	100000	G171101-02-3	blank	2017-11-11	2018-05-11
106062901	CT 5128-A/B-YD	49700	E171101-05-1	blank	2017-11-11	2018-05-11
106062901	CT 5128-A/B-YD	50700	E171101-06-1	blank	2017-11-11	2018-05-11
106062901	CT 5128-A/B-YD	40600	E171101-09-1	blank	2017-11-11	2018-05-11
106062901	CT 5128-A/B-YD	43800	E171101-02M-1	blank	2017-11-11	2018-05-11
106062901	CT 5128-A/B-YD	48700	E171101-03Z-1	blank	2017-11-11	2018-05-11
106062901	CT 5128-A/B-YD	48500	E171101-04M-1	blank	2017-11-11	2018-05-11
106063001	CT 1709-A/B-YD	17400	M170921-03-6	blank	2017-11-11	2018-05-11
021523701	CT 2083 BF	8600	G171101-01-2	blank	2017-11-11	2018-05-11
105922901	CT 5198-B	3000	B171101-01-1	blank	2017-11-11	2018-05-11
105871301	CT 5185-2-A/B	8000	B171109-02-1	blank	2017-11-11	2018-05-11
103774401	CT 2331-A-1	30	171101SP2-2	S-RC/L4-00150	2017-11-11	2018-05-11
103774501	CT 2331-B-1	31	171101SP2-2	S-RC/L4-00149	2017-11-11	2018-05-11
103774601	CT 2331-C-1	24	171101SP2-2	S-RC/L3-00152	2017-11-11	2018-05-11
021386101	CT 866 A AU-B	4960	F171018-01-1-A	S-RI/L6-00483	2017-11-11	2018-05-11
107028501	CT 2183-B NAISEI PLATE	30000	C171106-1V-0001	 	2017-11-11	2018-05-11
021435701	CT 1822A AU-B T0.25	2157	D171018-01-1-A	S-RB/L5-00072	2017-11-11	2018-05-11
107028401	CT 2183-A NAISEI PLATE	29800	C171101-1U-0001	 	2017-11-11	2018-05-11
107028401	CT 2183-A NAISEI PLATE	20500	C171101-1U-0002	 	2017-11-11	2018-05-11
107028701	CT 2183-D NAISEI PLATE	30000	C171101-1T-0001	 	2017-11-11	2018-05-11
107028601	CT 2183-C NAISEI PLATE	14000	C171107-1W-0002	 	2017-11-11	2018-05-11
107028601	CT 2183-C NAISEI PLATE	16000	C171107-1W-0001	 	2017-11-11	2018-05-11
021394002	CT 1112 A AU-B	5681	L170724-01-2-A	S-RA/L6-00001	2017-11-11	2018-05-11
021394102	CT 1112 B AU-B	3650	L170724-01-2-B	S-RA/L6-00002	2017-11-11	2018-05-11
021583902	CT 298-2B AU-B	10000	M170803-01-6-B	S-RD/L6-00190	2017-11-11	2018-05-11
021492301	CT 2385 B AU-B	580	B160609-01-1-B	S-RD/L4-00202	2017-11-11	2018-05-11
