item	item_desc	qty	lot_no	location	received_date	exp_date
103065101	CT 1011-2PA-F	6560	H171026-1-1	blank	2017-11-07	2018-05-07
104616201	CT 2088-ABC-1 NO.4	3000	L1711001-01-4	blank	2017-11-07	2018-05-07
104525201	CT 2611-A/B-2 NO.12	51000	G171101-14-13	blank	2017-11-07	2018-05-07
104525201	CT 2611-A/B-2 NO.12	50000	G171101-13-13	blank	2017-11-07	2018-05-07
104525201	CT 2611-A/B-2 NO.12	50000	G171101-12-13	blank	2017-11-07	2018-05-07
104525201	CT 2611-A/B-2 NO.12	40000	G171101-11-13	blank	2017-11-07	2018-05-07
104525201	CT 2611-A/B-2 NO.12	41000	G171101-10-13	blank	2017-11-07	2018-05-07
104525201	CT 2611-A/B-2 NO.12	50000	G171101-09-13	blank	2017-11-07	2018-05-07
104525201	CT 2611-A/B-2 NO.12	50000	G171101-08-13	blank	2017-11-07	2018-05-07
104525201	CT 2611-A/B-2 NO.12	50000	G171101-07-13	blank	2017-11-07	2018-05-07
104525201	CT 2611-A/B-2 NO.12	50000	G171101-06-13	blank	2017-11-07	2018-05-07
104525201	CT 2611-A/B-2 NO.12	50000	G171101-05-13	blank	2017-11-07	2018-05-07
104525201	CT 2611-A/B-2 NO.12	50000	G171101-04-13	blank	2017-11-07	2018-05-07
104525201	CT 2611-A/B-2 NO.12	24000	G171101-03-13	blank	2017-11-07	2018-05-07
104525201	CT 2611-A/B-2 NO.12	50000	G171101-02-13	blank	2017-11-07	2018-05-07
102118601	CT 3717(SAYAMA)CT 3490KANAGATA [R]	1512	CB071010R	S-TBAR/L03-00025	2017-11-07	2018-05-07
104455301	CT 4498-A/B/C	21000	D171102-04-1	blank	2017-11-07	2018-05-07
104455301	CT 4498-A/B/C	24000	D171103-02-1	blank	2017-11-07	2018-05-07
104455301	CT 4498-A/B/C	30000	D171103-06-1	blank	2017-11-07	2018-05-07
021020001	IC51-1433AD#UP PEI	20	C160428	blank	2016-05-07	2018-05-07
021020101	IC51-1433AD#LP PEI+	18	B160428	blank	2016-05-07	2018-05-07
021020101	IC51-1433AD#LP PEI+	2	B120809	blank	2016-05-07	2018-05-07
023004102	NP364-01649#LT	2247	D160423	R07-1/L3-01761	2016-05-07	2018-05-07
020335701	IC121-5406-MF#IN	26	AB140318	R18-2/L1-03765	2016-05-07	2018-05-07
101140201	NP351-841-450#MO	41	B160331	R42-1/L3-07770	2016-05-07	2018-05-07
101140102	NP351-841-450#IN-B	41	E160405	R36-1/L1-06770	2016-05-07	2018-05-07
020226101	IC51-808-6AD#UP PEI	40	B160428	R14-1/L2-02914	2016-05-07	2018-05-07
023003903	NP364-01649#CV	622	D160422	R35-1/L2-06546	2016-05-07	2018-05-07
023003805	NP364-03249#IN	618	F160421	R22-2/L1-04491	2016-05-07	2018-05-07
106281201	NP587-001#LT	4261	160427	R03-2/L4-00744	2016-05-07	2018-05-07
105346001	IC561-020#PB-B	398	C150622	R25-1/L2-04892	2016-05-07	2018-05-07
101140501	NP351-841-450#LV	500	16-5-6	R02-2/L5-00423	2016-05-07	2018-05-07
102459502	NP383-196-149#LV	2000	16-5-6	R02-2/L4-00456	2016-05-07	2018-05-07
020840902	IC357-1444-023#SD	656	A160427	R33-2/L3-06237	2016-05-07	2018-05-07
020840902	IC357-1444-023#SD	176	A160409	R33-2/L3-06237	2016-05-07	2018-05-07
023004002	NP364-03249#LB	622	C160421	R31-2/L1-05941	2016-05-07	2018-05-07
106281401	NP587-001#SP	8000	160503	R21-2/L3-04257	2016-05-07	2018-05-07
106281401	NP587-001#SP	9000	160502	R21-2/L3-04257	2016-05-07	2018-05-07
106281401	NP587-001#SP	9000	160501	R21-2/L3-04257	2016-05-07	2018-05-07
020433802	IC234-1764-002#IN-A	1265	F160404	R21-1/L1-04216	2016-05-07	2018-05-07
020433802	IC234-1764-002#IN-A	590	F160429	R21-1/L1-04216	2016-05-07	2018-05-07
106318101	CT 5355#SPRING (MICRO)	530000	163A206	blank	2016-05-07	2018-05-07
103441902	CT 4119-Y #BARREL 10K (PLATE)	10500	160428	blank	2016-05-07	2018-05-07
106170901	CT 5310-Y#SPRING 10K (OCEANS)	10500	15041A-01N	blank	2016-05-07	2018-05-07
106317801	CT 5355#PLUNGER-A (YEC)	298700	160502	blank	2016-05-07	2018-05-07
105432901	CS-K1002	10280	1656	R03-2/L2-00785	2016-05-07	2018-05-07
021716901	CS-K1055	500	16315	R01-2/L5-00172	2016-05-07	2018-05-07
106037101	COIL SPRING K5060	100	1656	R03-2/L2-00795	2016-05-07	2018-05-07
021709801	ST-09 PEI JD4901	68	A160426	R44-2/L2-08360	2016-05-07	2018-05-07
106379001	NP568-001#CV NO.2	16796	160424	blank	2016-05-07	2018-05-07
106379001	NP568-001#CV NO.2	9774	160425	blank	2016-05-07	2018-05-07
106362801	NP568-153-001#IN-A NO.2	15680	160416	blank	2016-05-07	2018-05-07
106362801	NP568-153-001#IN-A NO.2	8116	160417	blank	2016-05-07	2018-05-07
106362801	NP568-153-001#IN-A NO.2	4077	160422	blank	2016-05-07	2018-05-07
106362801	NP568-153-001#IN-A NO.2	15812	160424	blank	2016-05-07	2018-05-07
106443201	NP568-153-001#IN-B NO.3	22009	A160423	blank	2016-05-07	2018-05-07
020558101	OPTICAL ALIGNMENT PIN-01-3 WHITE	60	160427	R06-2/L1-01671	2016-05-07	2018-05-07
106443101	NP568-153-001#IN-A NO.3	3500	D160426	blank	2016-05-07	2018-05-07
106443101	NP568-153-001#IN-A NO.3	11335	D160425	blank	2016-05-07	2018-05-07
021205101	PS42-44W-5013#IN	1748	160422	R44-1/L2-08254	2016-05-07	2018-05-07
106317801	CT 5355#PLUNGER-A (YEC)	41600	A160401-101	blank	2016-05-07	2018-05-07
106317801	CT 5355#PLUNGER-A (YEC)	46700	A160322-106	blank	2016-05-07	2018-05-07
106317801	CT 5355#PLUNGER-A (YEC)	43300	A160309-114	blank	2016-05-07	2018-05-07
106317801	CT 5355#PLUNGER-A (YEC)	39200	A160328-108	blank	2016-05-07	2018-05-07
106317801	CT 5355#PLUNGER-A (YEC)	43600	A160330-117	blank	2016-05-07	2018-05-07
106317801	CT 5355#PLUNGER-A (YEC)	43100	A160318-114	blank	2016-05-07	2018-05-07
106317801	CT 5355#PLUNGER-A (YEC)	41200	A160408-118	blank	2016-05-07	2018-05-07
104722301	IC561-001#MO-12	85	C160222	R37-2/L2-07007	2016-05-07	2018-05-07
105512401	IC273-0071-054#LT-2	224	160426	R09-2/L2-02469	2016-05-07	2018-05-07
106337501	NP504-504-018#SP-1	2800	B160420	blank	2016-05-07	2018-05-07
106337501	NP504-504-018#SP-1	7600	B160426	blank	2016-05-07	2018-05-07
106337501	NP504-504-018#SP-1	9200	B160427	blank	2016-05-07	2018-05-07
106337501	NP504-504-018#SP-1	20612	B160428	blank	2016-05-07	2018-05-07
106337501	NP504-504-018#SP-1	10400	B160429	blank	2016-05-07	2018-05-07
106337501	NP504-504-018#SP-1	7600	B160430	blank	2016-05-07	2018-05-07
106337501	NP504-504-018#SP-1	4800	B160502	blank	2016-05-07	2018-05-07
106010001	A10-234#SF-1	-8759	160414-44	blank	2016-05-07	2018-05-07
106035301	B10-140#SF	-8834	151216-64	blank	2016-05-07	2018-05-07
106035201	B12-164#SF	-8835	160401-07	blank	2016-05-07	2018-05-07
106053501	NP571-296-003#CV	10	151214-52	blank	2016-05-07	2018-05-07
105786401	NP571-296-003#LV-1	2226	160401-08	blank	2016-05-07	2018-05-07
105786401	NP571-296-003#LV-1	20000	160324	blank	2016-05-07	2018-05-07
106034501	NP504-504-018#SP-A	8480	MP160420	blank	2016-05-07	2018-05-07
106034501	NP504-504-018#SP-A	2077	MP160325	blank	2016-05-07	2018-05-07
106034601	NP504-504-018#SP-B-1	110	160428-83	blank	2016-05-07	2018-05-07
106034601	NP504-504-018#SP-B-1	4700	MP160422	blank	2016-05-07	2018-05-07
106034601	NP504-504-018#SP-B-1	2447	MP160330	blank	2016-05-07	2018-05-07
106034601	NP504-504-018#SP-B-1	3300	MP160426	blank	2016-05-07	2018-05-07
106034001	NP504-504-018#IN	11	160428-83	blank	2016-05-07	2018-05-07
106034001	NP504-504-018#IN	306	160407-30	blank	2016-05-07	2018-05-07
106034001	NP504-504-018#IN	2560	MP160420	blank	2016-05-07	2018-05-07
106034001	NP504-504-018#IN	2560	MP160421	blank	2016-05-07	2018-05-07
106034001	NP504-504-018#IN	2560	MP160425	blank	2016-05-07	2018-05-07
106034001	NP504-504-018#IN	2560	MP160406	blank	2016-05-07	2018-05-07
106034101	NP504-504-018#CV	4536	MP160420	blank	2016-05-07	2018-05-07
106034101	NP504-504-018#CV	-2003	MP160421	blank	2016-05-07	2018-05-07
106034101	NP504-504-018#CV	-3488	MP160411	blank	2016-05-07	2018-05-07
106034101	NP504-504-018#CV	-3605	MP160422	blank	2016-05-07	2018-05-07
106034901	NP504-899-018#LO	716	MP160421	blank	2016-05-07	2018-05-07
106034901	NP504-899-018#LO	1260	MP160418	blank	2016-05-07	2018-05-07
106034901	NP504-899-018#LO	2299	MP160405	blank	2016-05-07	2018-05-07
106034901	NP504-899-018#LO	1260	MP160419	blank	2016-05-07	2018-05-07
106034901	NP504-899-018#LO	2520	MP160407	blank	2016-05-07	2018-05-07
106034901	NP504-899-018#LO	1260	MP160420	blank	2016-05-07	2018-05-07
106034901	NP504-899-018#LO	-3740	MP160406	blank	2016-05-07	2018-05-07
106381701	NP504-432-073#LB	2800	MP160426	blank	2016-05-07	2018-05-07
106381701	NP504-432-073#LB	3128	MP160422	blank	2016-05-07	2018-05-07
106381701	NP504-432-073#LB	2240	MP160421	blank	2016-05-07	2018-05-07
106381701	NP504-432-073#LB	-2598	MP160427	blank	2016-05-07	2018-05-07
106381801	NP504-432-073#MO	14800	MP160422	blank	2016-05-07	2018-05-07
106381801	NP504-432-073#MO	830	MP160415	blank	2016-05-07	2018-05-07
106381801	NP504-432-073#MO	8292	MP160425	blank	2016-05-07	2018-05-07
106036001	NP571-385-011#LT	-9075	160401-02	R09-1/L1-02364	2016-05-07	2018-05-07
106036001	NP571-385-011#LT	-7810	160420-55	R09-1/L1-02364	2016-05-07	2018-05-07
106036001	NP571-385-011#LT	-2000	MP160406	R09-1/L1-02364	2016-05-07	2018-05-07
